,data_extracao,prefixo,ponto,placa,marca,modelo,data_primeiro_emplac,ano_fabricacao,combustivel,álcool,gasolina,GNV,elétrico
91,2020-03-12 01:58:27.228285,2985,RODOVIÁRIA,IWV4695,CHEVROLET,COBALT,2015-10-07,2015,ÁLCOOL/GASOLINA/GNV,1,1,1,0
92,2020-03-12 01:58:27.228285,3208,,IYW4235,VW,VOYAGE,2018-10-31,2018,ÁLCOOL/GASOLINA,1,1,0,0
93,2020-03-12 01:58:27.228285,2091,PRAIA DE BELAS SHOPPING,IVX9071,VW,SPACEFOX,2014-09-30,2014,ÁLCOOL/GASOLINA/GNV,1,1,1,0
94,2020-03-12 01:58:27.228285,1911,HOTEL LANCASTER,IUU7042,VW,VOYAGE,2013-10-09,2013,ÁLCOOL/GASOLINA,1,1,0,0
95,2020-03-12 01:58:27.228285,2161,,OXT4385,TOYOTA,ETIOS SEDAN,2014-12-31,2014,ÁLCOOL/GASOLINA,1,1,0,0
96,2020-03-12 01:58:27.228285,2475,FELIZARDO X FELIZARDO FURTADO,IYA3091,VW,VOYAGE,2017-12-31,2017,ÁLCOOL/GASOLINA,1,1,0,0
97,2020-03-12 01:58:27.228285,2750,MONTE CRISTO X RODRIGUES DA FONSECA,IZX7B66,TOYOTA,ETIOS SEDAN,2020-03-02,2020,ÁLCOOL/GASOLINA/GNV,1,1,1,0
98,2020-03-12 01:58:27.228285,2837,,IYY6079,VW,VIRTUS,2018-12-06,2018,ÁLCOOL/GASOLINA/GNV,1,1,1,0
99,2020-03-12 01:58:27.228285,4536,AEROPORTO SALGADO FILHO,IZN3I65,VW,VIRTUS,2019-08-16,2019,ÁLCOOL/GASOLINA,1,1,0,0
100,2020-03-12 01:58:27.228285,4640,,IWH2365,CHEVROLET,SPIN,2015-01-21,2014,ÁLCOOL/GASOLINA/GNV,1,1,1,0
101,2020-03-12 01:58:27.228285,4034,,IVW7843,CHEVROLET,PRISMA,2014-09-18,2014,ÁLCOOL/GASOLINA,1,1,0,0
102,2020-03-12 01:58:27.228285,2525,INSTITUTO DE CARDIOLOGIA,IYW0692,VW,VIRTUS,2018-10-26,2018,ÁLCOOL/GASOLINA/GNV,1,1,1,0
103,2020-03-12 01:58:27.228285,1288,CENTRO CLÍNICO MÃE DE DEUS,IYM5964,VW,VOYAGE,2018-04-26,2018,ÁLCOOL/GASOLINA/GNV,1,1,1,0
104,2020-03-12 01:58:27.228285,1917,RODOVIÁRIA,IZV2C90,NISSAN,VERSA,2019-12-03,2019,ÁLCOOL/GASOLINA/GNV,1,1,1,0
105,2020-03-12 01:58:27.228285,1488,JARDIM PLANALTO,IZG1I64,CHEVROLET,COBALT,2019-03-28,2019,ÁLCOOL/GASOLINA,1,1,0,0
106,2020-03-12 01:58:27.228285,4619,AEROPORTO SALGADO FILHO,IZQ2D16,CHEVROLET,SPIN,2019-09-27,2018,ÁLCOOL/GASOLINA/GNV,1,1,1,0
107,2020-03-12 01:58:27.228285,2341,LAURO MÜLLER X A. J. RENNER,IYE4745,TOYOTA,ETIOS SEDAN,2017-11-17,2017,ÁLCOOL/GASOLINA/GNV,1,1,1,0
108,2020-03-12 01:58:27.228285,4104,AEROPORTO SALGADO FILHO,IYG8760,CHEVROLET,SPIN,2017-12-28,2017,ÁLCOOL/GASOLINA/GNV,1,1,1,0
